ID,class,content
99,5,我不喜欢那些具有侵略性或过度情绪化的人。
100,4,我非常情绪化，一天的喜怒哀乐多变。
101,5,我不想让别人知道我的感受与想法，除非我告诉他们。
102,1,我喜欢刺激和紧张的关系，而不是稳定和依赖的关系。
103,7,我很少用心去听别人的谈话，只喜欢说俏皮话和笑话。
104,1,我是循规蹈矩的人，秩序对于我十分有意义。
105,4,我很难找到一种我真正感到被爱的感觉。
106,1,假如我想要结束一段关系，我不是直接告诉对方就是激怒他（她）让他（她）离开我。
107,9,我温和平静，不自夸，不爱与人竞争。
108,9,我有时善良可爱，有时又粗野暴躁，很难捉摸。
